date,sales
2023-01-01,48
2023-01-02,49
2023-01-03,54
2023-01-04,52
2023-01-05,41
2023-01-06,45
2023-01-07,57
2023-01-08,46
2023-01-09,49
2023-01-10,49
2023-01-11,51
2023-01-12,64
2023-01-13,59
2023-01-14,42
2023-01-15,64
2023-01-16,58
2023-01-17,65
2023-01-18,54
2023-01-19,50
2023-01-20,39
2023-01-21,46
2023-01-22,43
2023-01-23,47
2023-01-24,47
2023-01-25,43
2023-01-26,53
2023-01-27,50
2023-01-28,46
2023-01-29,49
2023-01-30,40
2023-01-31,52
2023-02-01,47
2023-02-02,36
2023-02-03,43
2023-02-04,41
2023-02-05,44
2023-02-06,46
2023-02-07,52
2023-02-08,43
2023-02-09,51
2023-02-10,53
2023-02-11,49
2023-02-12,41
2023-02-13,50
2023-02-14,45
2023-02-15,43
2023-02-16,50
2023-02-17,56
2023-02-18,51
2023-02-19,51
2023-02-20,59
2023-02-21,54
2023-02-22,48
2023-02-23,64
2023-02-24,49
2023-02-25,52
2023-02-26,57
2023-02-27,47
2023-02-28,50
2023-03-01,42
2023-03-02,52
2023-03-03,57
2023-03-04,53
2023-03-05,53
2023-03-06,43
2023-03-07,48
2023-03-08,48
2023-03-09,44
2023-03-10,55
2023-03-11,44
2023-03-12,59
2023-03-13,47
2023-03-14,45
2023-03-15,50
2023-03-16,49
2023-03-17,36
2023-03-18,35
2023-03-19,54
2023-03-20,47
2023-03-21,34
2023-03-22,49
2023-03-23,45
2023-03-24,40
2023-03-25,49
2023-03-26,45
2023-03-27,52
2023-03-28,42
2023-03-29,48
2023-03-30,47
2023-03-31,53
2023-04-01,55
2023-04-02,48
2023-04-03,62
2023-04-04,50
2023-04-05,48
2023-04-06,55
2023-04-07,55
2023-04-08,63
2023-04-09,57
2023-04-10,53
2023-04-11,58
2023-04-12,57
2023-04-13,59
2023-04-14,54
2023-04-15,53
2023-04-16,56
2023-04-17,54
2023-04-18,45
2023-04-19,61
2023-04-20,55
2023-04-21,43
2023-04-22,56
2023-04-23,55
2023-04-24,55
2023-04-25,52
2023-04-26,48
2023-04-27,44
2023-04-28,41
2023-04-29,46
2023-04-30,40
2023-05-01,45
2023-05-02,41
2023-05-03,50
2023-05-04,53
2023-05-05,52
2023-05-06,46
2023-05-07,48
2023-05-08,45
2023-05-09,45
2023-05-10,47
2023-05-11,55
2023-05-12,48
2023-05-13,57
2023-05-14,55
2023-05-15,47
2023-05-16,54
2023-05-17,50
2023-05-18,50
2023-05-19,53
2023-05-20,46
2023-05-21,57
2023-05-22,54
2023-05-23,60
2023-05-24,64
2023-05-25,59
2023-05-26,59
2023-05-27,60
2023-05-28,56
2023-05-29,54
2023-05-30,50
2023-05-31,54
2023-06-01,55
2023-06-02,50
2023-06-03,47
2023-06-04,49
2023-06-05,53
2023-06-06,60
2023-06-07,51
2023-06-08,52
2023-06-09,53
2023-06-10,50
2023-06-11,48
2023-06-12,42
2023-06-13,42
2023-06-14,45
2023-06-15,46
2023-06-16,51
2023-06-17,52
2023-06-18,46
2023-06-19,50
2023-06-20,45
2023-06-21,43
2023-06-22,49
2023-06-23,52
2023-06-24,47
2023-06-25,51
2023-06-26,52
2023-06-27,56
2023-06-28,58
2023-06-29,53
2023-06-30,57
2023-07-01,61
2023-07-02,51
2023-07-03,54
2023-07-04,55
2023-07-05,59
2023-07-06,71
2023-07-07,57
2023-07-08,50
2023-07-09,68
2023-07-10,58
2023-07-11,54
2023-07-12,58
2023-07-13,65
2023-07-14,56
2023-07-15,55
2023-07-16,58
2023-07-17,53
2023-07-18,49
2023-07-19,59
2023-07-20,56
2023-07-21,48
2023-07-22,53
2023-07-23,55
2023-07-24,47
2023-07-25,51
2023-07-26,47
2023-07-27,46
2023-07-28,52
2023-07-29,54
2023-07-30,53
2023-07-31,47
2023-08-01,52
2023-08-02,48
2023-08-03,53
2023-08-04,63
2023-08-05,52
2023-08-06,51
2023-08-07,53
